2020-11-23 21:01:28,064 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicDomain:0.0.1-SNAPSHOT @ /Users/vyshaliprabananthlal/eclipse-workspace/5484trytrytrtry/ClinicDomain/pom.xml.
2020-11-23 21:01:28,438 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ClinicDomain/src
2020-11-23 21:01:28,438 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /ClinicDomain/src overlaps with sources folder /ClinicDomain/src
2020-11-23 21:01:28,444 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ClinicDomain/src/test/java because it overlaps with /ClinicDomain/src
2020-11-23 21:01:28,581 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-11-23 21:01:28,809 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicDomain:0.0.1-SNAPSHOT @ /Users/vyshaliprabananthlal/eclipse-workspace/5484trytrytrtry/ClinicDomain/pom.xml.
2020-11-23 21:01:29,008 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ClinicDomain/src
2020-11-23 21:01:29,008 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /ClinicDomain/src overlaps with sources folder /ClinicDomain/src
2020-11-23 21:01:29,014 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ClinicDomain/src/test/java because it overlaps with /ClinicDomain/src
2020-11-23 21:01:29,070 [Worker-46: Enabling Maven Dependency Management] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2020-11-23 21:01:29,193 [Worker-48: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 21:01:29,197 [Worker-48: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-11-23 21:01:29,203 [Worker-48: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-23 21:01:29,203 [Worker-48: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vyshaliprabananthlal/eclipse-workspace/5484trytrytrtry/ClinicDomain/src/test/resources
